epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.415,1.46199,1.78607,1.45834,0.57376,0.16416,0.1951,0.08445,2.26779,2.89574,2.683,0.0705172,0.00327586,0.00327586
2,29.8155,1.42527,1.25634,1.41558,0.57905,0.46605,0.31671,0.15545,1.83071,1.90702,1.79201,0.040477,0.00656892,0.00656892
3,40.8257,1.40302,1.23264,1.41576,0.2107,0.42472,0.25094,0.15798,1.25839,1.56957,1.34397,0.0102764,0.00970165,0.00970165
4,51.7403,1.38636,1.186,1.40511,0.46873,0.54192,0.43265,0.25066,1.45218,1.15432,1.48243,0.00946048,0.00946048,0.00946048
5,63.2086,1.33609,1.1189,1.37056,0.46108,0.75547,0.52097,0.3412,1.19499,1.21098,1.30791,0.00905463,0.00905463,0.00905463
6,74.2778,1.32864,1.10027,1.36403,0.51113,0.82752,0.57587,0.37988,1.12713,1.0649,1.23097,0.00855018,0.00855018,0.00855018
7,85.3497,1.31944,1.07441,1.35663,0.44705,0.87386,0.55781,0.37207,1.13227,0.89983,1.21888,0.00795954,0.00795954,0.00795954
8,96.717,1.29457,1.06377,1.35047,0.44432,0.91734,0.56407,0.38505,1.10248,0.9515,1.21223,0.00729725,0.00729725,0.00729725
9,107.768,1.27861,1.0425,1.33303,0.72154,0.58735,0.50986,0.35081,1.09318,0.92716,1.23486,0.00657963,0.00657963,0.00657963
10,119.169,1.28548,1.04104,1.33854,0.51042,0.76733,0.54535,0.35052,1.27045,0.98605,1.31194,0.00582435,0.00582435,0.00582435
11,130.544,1.2656,1.00062,1.32352,0.51183,0.8899,0.57942,0.40438,1.06256,0.83568,1.18458,0.00505,0.00505,0.00505
12,141.448,1.26412,0.99051,1.3171,0.52159,0.89907,0.57178,0.34804,1.37473,0.84145,1.35857,0.00427565,0.00427565,0.00427565
13,152.303,1.23148,0.96802,1.31164,0.45156,0.87175,0.58688,0.39476,1.07049,0.78508,1.18752,0.00352037,0.00352037,0.00352037
14,163.59,1.22379,0.94857,1.29897,0.49637,0.86262,0.58611,0.4004,1.1384,0.8307,1.21215,0.00280275,0.00280275,0.00280275
15,174.509,1.21816,0.95583,1.29535,0.50526,0.91623,0.58408,0.41246,0.99766,0.76279,1.14673,0.00214046,0.00214046,0.00214046
16,186.501,1.21446,0.94053,1.31709,0.51401,0.89034,0.58965,0.34318,1.30568,0.82088,1.3038,0.00154982,0.00154982,0.00154982
17,197.036,1.18297,0.88505,1.29763,0.48635,0.88445,0.59038,0.41939,1.01855,0.71689,1.15057,0.00104537,0.00104537,0.00104537
18,207.417,1.1743,0.86041,1.30277,0.50328,0.86881,0.59877,0.43379,0.96964,0.67459,1.13162,0.000639518,0.000639518,0.000639518
19,217.837,1.15957,0.84303,1.28068,0.4994,0.88652,0.5934,0.43202,0.98067,0.67358,1.13354,0.00034227,0.00034227,0.00034227
20,228.689,1.14988,0.83843,1.27403,0.49935,0.89019,0.59044,0.43042,0.95858,0.66635,1.12334,0.000160943,0.000160943,0.000160943
